,start_time,end_time,duration,start_latitude,start_longitude,end_latitude,end_longitude,driving_distance,start_year,end_year,year,start_month,end_month,month,start_day,end_day,day,start_hour,end_hour,start_weekday,end_weekday,start_daytype,end_daytype,geometry,date,daytype,city,euclidean_distance,hour,random_seconds_start,random_seconds_end,random_seconds_pos,ia_timeout,avg_speed,avg_speed_kmh,origin_id,destination_id,origin_i,origin_j,destination_i,destination_j
45,2019-02-01 04:06:36.593010-05:00,2019-02-01 04:11:18.242476-05:00,281.649466,38.215,-85.758,38.214,-85.752,756.2299999999999,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.215, -85.752 38.214)",2019-02-01,weekday,Louisville,535.8592115129215,9,-503.406990417956,-859.5619670984079,281.6494655224565,0.266108,2.6850042030614034,9.666015131021053,76.0,59.0,12.0,4.0,11.0,3.0
42,2019-02-01 04:07:09.892772-05:00,2019-02-01 04:09:47.430429-05:00,157.537657,38.22,-85.758,38.221,-85.755,500.0,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.758 38.22, -85.755 38.221)",2019-02-01,weekday,Louisville,284.6896194495881,9,429.8927722112426,587.4304291428953,143.6356809110303,33.299762,3.173844333612249,11.425839601004096,90.0,90.0,10.0,5.0,10.0,5.0
47,2019-02-01 04:30:10.096090-05:00,2019-02-01 04:31:41.599881-05:00,91.503791,38.218,-85.763,38.222,-85.765,627.51,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.218, -85.765 38.222)",2019-02-01,weekday,Louisville,477.8656404728067,9,10.096090011810588,101.59988123823769,312.4770545502117,1380.203318,6.857748658741363,24.687895171468906,151.0,199.0,7.0,9.0,7.0,12.0
46,2019-02-01 04:31:30.594208-05:00,2019-02-01 04:36:08.804151-05:00,278.209943,38.229,-85.709,38.233,-85.716,852.7700000000001,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.709 38.229, -85.71599999999999 38.233)",2019-02-01,weekday,Louisville,756.0863379663685,9,90.59420783340568,-782.1610960331894,278.2099429153303,80.498118,3.065203172842748,11.034731422233893,75.0,92.0,11.0,4.0,12.0,5.0
52,2019-02-01 04:33:39.734836-05:00,2019-02-01 04:45:55.079261-05:00,735.344425,38.214,-85.755,38.205,-85.757,1078.03,2019,2019,2019,2,2,2,1,1,1,9,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.755 38.214, -85.75700000000001 38.205)",2019-02-01,weekday,Louisville,1015.8959798751732,9,-680.2651636683493,-844.9207391496939,405.6774988413068,129.140628,1.4660204978095808,5.2776737921144905,82.0,99.0,2.0,5.0,3.0,6.0
51,2019-02-01 04:47:19.873255-05:00,2019-02-01 04:49:03.783645-05:00,103.91039,38.217,-85.763,38.221,-85.764,514.88,2019,2019,2019,2,2,2,1,1,1,9,9,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.217, -85.764 38.221)",2019-02-01,weekday,Louisville,453.2778870695315,9,139.87325451476067,-851.1212079786119,103.91039039006421,820.138419,4.955038663602359,17.838139188968494,82.0,98.0,2.0,5.0,2.0,6.0
49,2019-02-01 04:52:38.048800-05:00,2019-02-01 05:08:43.521737-05:00,965.472937,38.219,-85.762,38.212,-85.771,1496.37,2019,2019,2019,2,2,2,1,1,1,9,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.219, -85.771 38.212)",2019-02-01,weekday,Louisville,1106.3864791205738,9,458.04880030872255,523.5217368099964,90.02731994722082,220.816,1.5498829046929565,5.579578456894644,83.0,83.0,3.0,5.0,3.0,5.0
50,2019-02-01 04:56:22.640091-05:00,2019-02-01 05:03:11.526354-05:00,408.886263,38.221,-85.763,38.216,-85.762,1255.02,2019,2019,2019,2,2,2,1,1,1,9,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.76300000000001 38.221, -85.762 38.216)",2019-02-01,weekday,Louisville,562.7963692087432,9,682.6400907298355,-845.6374115226141,408.88626310257655,224.591291,3.0693621027811346,11.049703570012085,104.0,73.0,8.0,6.0,9.0,4.0
57,2019-02-01 05:05:50.124012-05:00,2019-02-01 05:36:54.557671-05:00,1864.433659,38.215,-85.757,38.217,-85.759,32.18,2019,2019,2019,2,2,2,1,1,1,10,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.75700000000001 38.215, -85.759 38.217)",2019-02-01,weekday,Louisville,282.82005992834655,10,-549.875988177109,414.5576706729935,353.957499218583,567.483921,0.01725993298000205,0.06213575872800738,83.0,82.0,3.0,5.0,2.0,5.0
63,2019-02-01 05:32:35.984886-05:00,2019-02-01 05:40:00.903458-05:00,444.918572,38.221,-85.762,38.22,-85.756,498.79,2019,2019,2019,2,2,2,1,1,1,10,10,Fri,Fri,weekday,weekday,"LINESTRING (-85.762 38.221, -85.756 38.22)",2019-02-01,weekday,Louisville,535.8169300067794,10,-744.0151142175987,-299.09654196097347,139.2513200445223,427.753794,1.1210815447820865,4.035893561215512,67.0,67.0,3.0,4.0,3.0,4.0
